,Unnamed: 0,Unnamed: 0.1,ID,Response,Grade,Question
1267,1267,1301,5ac95126c93bab762f619ae6d9e0457a3ae69e32d351c6f444adf2fed30efe3915f7f9845b1ec549d2f270b573f92967241b205877e7a669570b3a332b14617a,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1268,1268,1302,502fef2d6fe9da5464e8c9384e9e17ec9e027605731f937c9c268939dfba42b423927e1ae32d93e126c685489559ff30ae83edb07a6c11513af9f28236779e80,[ \log_2 (n)],0.0,4
1269,1269,1303,90a8f27cfb71d61b9c73a7a8ab33730e3ebc85bfa97c54d9b613ce87b305b9e1aa432bcfbae1c2c5d2035b82671180a8d7f60a46fa0262145d5fd6b791318ce7,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1270,1270,1304,158bc4a6a09d1d1f60a3174579dd63b17d40ca380bf126e52a49b005e6d33ba7bdbb0d4d003014825659fe0bdbb49f2fd5e45256e7b5b723af7ad889e792a934,[ 2^{n+1}-1],0.0,4
1271,1271,1305,3068685c76e4b2c329c64b4a981abf59ea0591abc5a7b11e62ce43c420b142b81f90f5e9d316d436b64235d5ad493fb04d7af76ae8a7eac84bd371103293e146,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1272,1272,1306,c1f6abfd4fc5318b969d8b42d7f10e1364425c616a8b69c8f8594b69d2c7a7743a83790314faf11cc3b382f3287fb00f531687f09a9146a00ce2dbe39062eeff,[ 2^{n+1}-1],0.0,4
1273,1273,1307,afeeaae30229bbf9032ee9948e95a3a98860a874d1b1d0d67ee088b120bc22e9fb34f7eeb7b1df4260a0f1a548b9e0b11d627eaa2a17433f88a21e97dee9550e,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1274,1274,1308,4bccbfcaa9439271fb4e221590e1fd6768f9a6170a62193e2aa38f727ca7e838985ca00984f7b4a782149961c288a265aac8163c38e74ff4f6279a0f9baaec5e,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1275,1275,1309,0210a9d3772d4f5814d5d585f47b6503d720f89ae8ca72b5fb7136f3da85dccbdba73ac11df998e73774b6321c99446733c7c479dc009a4e0dc92678413ef102,[\lfloor{ \log_2 (n+1) -1}\rfloor],0.0,4
1276,1276,1310,6a7a49da689922560451287b4e285dafdb4a0bfd283c9d3d5a6941f50de9e8434c4baab959d6ac95be4270bc3e3b12632437fec1cc1ffa0e88747c0a4bcc97e6,[ \log_2 (n)],0.0,4
1277,1277,1311,a69deeb1d09b2c2f2efacf2adabcd40f91cbdaa6d8a94b958b4f80eb19e04ba4658d33a6b07d41e2293e3dc7c648d0c9d4ec03fdc6df749e7a11d1c6ae138068,[ \log_2 (n)],0.0,4
1278,1278,1312,a130bfe9418c91d178f590031c0c9939b5fca90db77973d7f6178ded40014a7172640da790c28b96fd7fb6c80913844b332b017840744966e0e7f4da01d28945,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1279,1279,1313,fa243626fbe26ef57e9cb51b64e34cda34860d25833be057b8aacb2413654723774f7590965ed807a0415dd0e925f4717e86fc15d11f310737f703eab68fbabd,[ \log_2 (n)],0.0,4
1280,1280,1314,613c2ba250835f60dd8d6152221f9e06173d3c4bcc77f7b6c456f0bb9860c2fa0917972ea9f5067f4fe1f88b30007ef0f5e48ef265e8c878004f67d405750a94,[ 2^{n+1}-1],0.0,4
1281,1281,1315,8052ea5813981ce1b1dc18dcce8d4c10c33b769890ea3f35ecc1dc5a6465b4897efddc1a12c6d7a26b5d0da8ca3c779589f99331e5d2c411636cea22d157833a,[ \log_2 (n)],0.0,4
1282,1282,1316,e9f55a461571038daf39646f8c350339a639982fda3a68a7de2c663bf3b55fcfe5c2c1470245e6cd83dc29b1d2c16e474b9b4bcd8ac2d4eb9b9e2eef6125ba6e,[ 2^{n+1}-1],0.0,4
1283,1283,1317,ee3d89b0d1151de34e3cf3043fc2b6592a400e8ce8a1d14d3b5e77f1fc57f3bb24de4a9c4426effca79ea565b502539dcf46a1f1d27d52e0d1e79029ce2f8aab,[ 2^{n+1}-1],0.0,4
1284,1284,1318,76547c457fac096aa24860742165ce32f0a7082f7aeb253f2ff91571275838954033b1627523b79a6ff278d5ebec75d54fbefdc04c377a9da2d71a00fe00d461,[ \log_2 (n)],0.0,4
1285,1285,1319,8d5ceb816f2781032ee62700b4d8e0c49eadb89db294dfede287a0eaeacf6b8016c744cd4dfe71d03f0f6caf776956147ca479b489362862217860010178b882,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1286,1286,1320,c0046d9efb5ac101c14867d2717db3e08d6ef4577447593b970d77add7785e77e104d1c4da7ccd26febfc9dec54c612f8ab1164fc3489c3f123475dd1c711486,[ \log_2 (n)],0.0,4
1287,1287,1321,2a73fae534f6399be599dee1f1de2adaec9431f39943abeccc1ca0cc827521f43446d764a73ff779a0d169bd025aa1ff69232dd0892e2b573939bb6ed6281bd6,[ 2^{n+1}-1],0.0,4
1288,1288,1322,a586034bc0ea3e0bd2a2b4dff219cf034cac97fa120c84c5593c25dffdc3f1a468fefc24bb2bdf98353fd0ea2b977b66567bd89a57f431c7aed14858a8d70ebc,[\lceil{ \log_2 (n+1) -1}\rceil],2.0,4
1289,1289,1323,123327d0fe6f08830f406d009a76d43aeaf91d61dbf78719534cd0383d444c31a6d176da22141a362db4d90e156939be8986c3789463383fdfef85e9824c6f58,[ \log_2 (n)],0.0,4
